country,year,Population
Afghanistan,2017,36296113
Afrique du Sud,2017,57009756
Albanie,2017,2884169
Algérie,2017,41389189
Allemagne,2017,82658409
Andorre,2017,77001
Angola,2017,29816766
Anguilla,2017,14584
Antigua-et-Barbuda,2017,95426
Antilles néerlandaises (ex),2017,275186
Arabie saoudite,2017,33101178
Argentine,2017,43937140
Arménie,2017,2944791
Aruba,2017,105366
Australie,2017,24584620
Autriche,2017,8819901
Azerbaïdjan,2017,9845320
Bahamas,2017,381755
Bahreïn,2017,1494076
Bangladesh,2017,159685424
Barbade,2017,286232
Bélarus,2017,9450231
Belgique,2017,11419748
Belize,2017,375769
Bénin,2017,11175198
Bermudes,2017,63049
Bhoutan,2017,745563
Bolivie (État plurinational de),2017,11192855
"Bonaire, Saint-Eustache et Saba",2017,25401
Bosnie-Herzégovine,2017,3351525
Botswana,2017,2205080
Brésil,2017,207833823
Brunéi Darussalam,2017,424473
Bulgarie,2017,7102444
Burkina Faso,2017,19193234
Burundi,2017,10827018
Cabo Verde,2017,537498
Cambodge,2017,16009409
Cameroun,2017,24566073
Canada,2017,36732095
Chili,2017,18470439
Chine - RAS de Hong-Kong,2017,7306321
Chine - RAS de Macao,2017,622585
"Chine, continentale",2017,1421021791
"Chine, Taiwan Province de",2017,23674546
Chypre,2017,1179678
Colombie,2017,48909839
Comores,2017,813891
Congo,2017,5110695
Costa Rica,2017,4949954
Côte d'Ivoire,2017,24437470
Croatie,2017,4182857
Cuba,2017,11339254
Curaçao,2017,161997
Danemark,2017,5732274
Djibouti,2017,944099
Dominique,2017,71458
Égypte,2017,96442591
El Salvador,2017,6388126
Émirats arabes unis,2017,9487203
Équateur,2017,16785361
Érythrée,2017,3412893
Espagne,2017,46647428
Estonie,2017,1319390
Eswatini,2017,1124805
États-Unis d'Amérique,2017,325084756
Éthiopie,2017,106399924
Fédération de Russie,2017,145530082
Fidji,2017,877459
Finlande,2017,5511371
France,2017,64842509
Gabon,2017,2064822
Gambie,2017,2213889
Géorgie,2017,4008716
Ghana,2017,29121465
Gibraltar,2017,33728
Grèce,2017,10569450
Grenade,2017,110874
Groenland,2017,56481
Guadeloupe,2017,399672
Guam,2017,164280
Guatemala,2017,16914970
Guinée,2017,12067518
Guinée équatoriale,2017,1262002
Guinée-Bissau,2017,1828145
Guyana,2017,775222
Guyane française,2017,275191
Haïti,2017,10982366
Honduras,2017,9429013
Hongrie,2017,9729823
Île de Man,2017,83598
Îles Anglo-Normandes,2017,168665
Îles Caïmanes,2017,63382
Îles Cook,2017,17507
Îles Falkland (Malvinas),2017,3068
Îles Féroé,2017,48331
Îles Mariannes du Nord,2017,56562
Îles Marshall,2017,58058
Îles Salomon,2017,636039
Îles Turques-et-Caïques,2017,37115
Îles Vierges américaines,2017,104751
Îles Vierges britanniques,2017,29577
Îles Wallis-et-Futuna,2017,11900
Inde,2017,1338676785
Indonésie,2017,264650963
Iran (République islamique d'),2017,80673883
Iraq,2017,37552781
Irlande,2017,4753279
Islande,2017,334393
Israël,2017,8243848
Italie,2017,60673701
Jamaïque,2017,2920848
Japon,2017,127502725
Jordanie,2017,9785843
Kazakhstan,2017,18080019
Kenya,2017,50221142
Kirghizistan,2017,6189733
Kiribati,2017,114158
Koweït,2017,4056099
Lesotho,2017,2091534
Lettonie,2017,1951097
Liban,2017,6819373
Libéria,2017,4702226
Libye,2017,6580724
Liechtenstein,2017,37800
Lituanie,2017,2845414
Luxembourg,2017,591910
Macédoine du Nord,2017,2081996
Madagascar,2017,25570512
Malaisie,2017,31104646
Malawi,2017,17670196
Maldives,2017,496402
Mali,2017,18512430
Malte,2017,437933
Maroc,2017,35581255
Martinique,2017,375948
Maurice,2017,1264499
Mauritanie,2017,4282570
Mayotte,2017,252957
Mexique,2017,124777324
Micronésie (États fédérés de),2017,111459
Monaco,2017,38392
Mongolie,2017,3113786
Monténégro,2017,627563
Montserrat,2017,4984
Mozambique,2017,28649018
Myanmar,2017,53382523
Namibie,2017,2402633
Nauru,2017,10573
Népal,2017,27632681
Nicaragua,2017,6384846
Niger,2017,21602382
Nigéria,2017,190873244
Nioué,2017,1609
Norvège,2017,5296326
Nouvelle-Calédonie,2017,277150
Nouvelle-Zélande,2017,4702034
Oman,2017,4665928
Ouganda,2017,41166588
Ouzbékistan,2017,31959785
Pakistan,2017,207906209
Palaos,2017,17808
Palestine,2017,4747227
Panama,2017,4106769
Papouasie-Nouvelle-Guinée,2017,8438036
Paraguay,2017,6867061
Pays-Bas,2017,17021346
Pérou,2017,31444298
Philippines,2017,105172925
Pologne,2017,37953180
Polynésie française,2017,276102
Porto Rico,2017,3163667
Portugal,2017,10288527
Qatar,2017,2724728
République arabe syrienne,2017,17095678
République centrafricaine,2017,4596023
République de Corée,2017,51096415
République de Moldova,2017,4059684
République démocratique du Congo,2017,81398764
République démocratique populaire lao,2017,6953035
République dominicaine,2017,10513104
République populaire démocratique de Corée,2017,25429825
République-Unie de Tanzanie,2017,54660339
Réunion,2017,876133
Roumanie,2017,19653969
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2017,66727460
Rwanda,2017,11980961
Sahara occidental,2017,552615
Saint-Barthélemy,2017,9784
"Sainte-Hélène, Ascension et Tristan da Cunha",2017,6007
Sainte-Lucie,2017,180954
Saint-Kitts-et-Nevis,2017,52045
Saint-Marin,2017,33671
Saint-Martin (partie française),2017,36560
Saint-Pierre-et-Miquelon,2017,5887
Saint-Siège,2017,792
Saint-Vincent-et-les Grenadines,2017,109827
Samoa,2017,195352
Samoa américaines,2017,55620
Sao Tomé-et-Principe,2017,207089
Sénégal,2017,15419355
Serbie,2017,8829628
Seychelles,2017,96418
Sierra Leone,2017,7488423
Singapour,2017,5708041
Sint Maarten  (partie néerlandaise),2017,41444
Slovaquie,2017,5447900
Slovénie,2017,2076393
Somalie,2017,14589178
Soudan,2017,40813397
Soudan du Sud,2017,10910763
Sri Lanka,2017,21128032
Suède,2017,9904896
Suisse,2017,8455804
Suriname,2017,570496
Tadjikistan,2017,8880268
Tchad,2017,15016753
Tchéquie,2017,10641034
Thaïlande,2017,69209810
Timor-Leste,2017,1243258
Togo,2017,7698474
Tokélaou,2017,1300
Tonga,2017,101998
Trinité-et-Tobago,2017,1384059
Tunisie,2017,11433443
Turkménistan,2017,5757667
Turquie,2017,81116450
Tuvalu,2017,11370
Ukraine,2017,44487709
Uruguay,2017,3436641
Vanuatu,2017,285510
Venezuela (République bolivarienne du),2017,29402484
Viet Nam,2017,94600648
Yémen,2017,27834819
Zambie,2017,16853599
Zimbabwe,2017,14236595
